"number" "dsum" "count" "missing" "quant_error" "fname"
118 1381.0 1381 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_bottai.tif"
119 20.0 20 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_brockmani.tif"
120 5776.0 5776 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_cosensis.tif"
121 66.0 66 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_grobbeni.tif"
122 52.0 52 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_jamesi.tif"
123 7517.0 7517 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_latastei.tif"
124 173.0 173 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_lowei.tif"
125 2263.0 2263 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_occiduus.tif"
126 120.0 120 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_principulus.tif"
127 2298.0 2298 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_somalicus.tif"
128 1250.0 1250 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_stigmonyx.tif"
129 42.0 42 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Glischropus_javanus.tif"
130 937.0 937 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Glyphotes_simus.tif"
131 7677.0 7677 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gracilinanus_emiliae.tif"
132 1103.0 1103 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Grammomys_aridulus.tif"
133 7321.0 7321 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Grammomys_buntingi.tif"
134 1937.0 1937 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Grammomys_caniceps.tif"
135 973.0 973 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Graomys_edithae.tif"
136 21258.0 21258 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Graphiurus_crassicaudatus.tif"
137 1620.0 1620 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Graphiurus_monardi.tif"
138 2954.0 2954 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Graphiurus_surdus.tif"
139 124.0 124 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Haeromys_margarettae.tif"
140 13560.0 13560 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Heliosciurus_punctatus.tif"
141 5506.0 5506 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Heliosciurus_undulatus.tif"
142 344.0 344 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Hesperoptenus_doriae.tif"
143 1.0 1 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Hesperoptenus_gaskelli.tif"
144 43.0 43 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Hipposideros_breviceps.tif"
145 528.0 528 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Doryrhina_camerunensis.tif"
