"number" "dsum" "count" "missing" "quant_error" "fname"
112 15423.0 15423 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Reptilia_Furina_dunmalli.tif"
113 2631.0 2631 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Galenomys_garleppi.tif"
114 24554.0 24554 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Genetta_abyssinica.tif"
115 1168.0 1168 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_acticola.tif"
116 41.0 41 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_muriculus.tif"
117 86800.0 86800 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_nancillus.tif"
118 1635.0 1635 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_bottai.tif"
119 23.0 23 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_brockmani.tif"
120 6711.0 6711 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_cosensis.tif"
121 85.0 85 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_grobbeni.tif"
122 63.0 63 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_jamesi.tif"
123 10234.0 10234 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_latastei.tif"
124 195.0 195 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_lowei.tif"
125 2892.0 2892 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_occiduus.tif"
126 140.0 140 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_principulus.tif"
