condition group weight wgrp filename
1 4 0.213 4 ../dd_rasters/Mammalia_Sorex sinalis.tif
1 4 0.357 4 ../dd_rasters/Mammalia_Chodsigoa salenskii.tif
1 2 0 2 ../dd_rasters/Reptilia_Sphaerodactylus micropithecus.tif
1 4 0.283 4 ../dd_rasters/Mammalia_Coendou vestitus.tif
1 4 0.699 4 ../dd_rasters/Mammalia_Steatomys jacksoni.tif
1 4 0.02 4 ../dd_rasters/Mammalia_Surdisorex polulus.tif
1 4 0.162 4 ../dd_rasters/Mammalia_Suncus ater.tif
1 4 0.043 4 ../dd_rasters/Mammalia_Suncus hosei.tif
1 4 0.224 4 ../dd_rasters/Mammalia_Sundasciurus rabori.tif
1 4 0.169 4 ../dd_rasters/Mammalia_Sylvilagus insonus.tif
1 4 0.118 4 ../dd_rasters/Mammalia_Sylvisorex oriundus.tif
1 4 0.229 4 ../dd_rasters/Mammalia_Syntheosciurus brochus.tif
1 4 0.237 4 ../dd_rasters/Mammalia_Tadarida ventralis.tif
1 4 0.311 4 ../dd_rasters/Mammalia_Taphozous achates.tif
1 4 0.239 4 ../dd_rasters/Mammalia_Taphozous hamiltoni.tif
1 1 0.003 1 ../dd_rasters/Amphibia_Telmatobius halli.tif
1 4 0.02 4 ../dd_rasters/Mammalia_Thallomys shortridgei.tif
1 4 0.008 4 ../dd_rasters/Mammalia_Thyroptera lavali.tif
1 4 0.212 4 ../dd_rasters/Mammalia_Tonatia bidens.tif
1 2 0.133 2 ../dd_rasters/Reptilia_Tribolonotus ponceleti.tif
1 4 0.279 4 ../dd_rasters/Mammalia_Tryphomys adustus.tif
1 4 0.021 4 ../dd_rasters/Mammalia_Tylomys fulviventer.tif
