condition group weight wgrp filename
1 1 0.055 1 ../lost_rasters/Amphibia_Sarcohyla sabrina.tif
1 1 0.191 1 ../lost_rasters/Amphibia_Sarcohyla siopela.tif
1 1 0.223 1 ../lost_rasters/Amphibia_Phrynomedusa appendiculata.tif
1 1 0.671 1 ../lost_rasters/Amphibia_Plectrohyla pycnochila.tif
1 1 0.178 1 ../lost_rasters/Amphibia_Callixalus pictus.tif
1 1 0.271 1 ../lost_rasters/Amphibia_Atopophrynus syntomopus.tif
1 1 0.4 1 ../lost_rasters/Amphibia_Crossodactylodes pintoi.tif
1 1 0.191 1 ../lost_rasters/Amphibia_Crossodactylus grandis.tif
1 1 0.377 1 ../lost_rasters/Amphibia_Cycloramphus asper.tif
1 1 0.34 1 ../lost_rasters/Amphibia_Cycloramphus bolitoglossus.tif
1 1 0.328 1 ../lost_rasters/Amphibia_Cycloramphus brasiliensis.tif
1 1 0.768 1 ../lost_rasters/Amphibia_Cycloramphus diringshofeni.tif
1 1 0.21 1 ../lost_rasters/Amphibia_Cycloramphus granulosus.tif
1 1 0.282 1 ../lost_rasters/Amphibia_Cycloramphus ohausi.tif
1 1 0.179 1 ../lost_rasters/Amphibia_Cycloramphus valae.tif
1 1 0.467 1 ../lost_rasters/Amphibia_Craugastor adamastus.tif
1 1 0.108 1 ../lost_rasters/Amphibia_Pristimantis albericoi.tif
1 1 0.361 1 ../lost_rasters/Amphibia_Craugastor andi.tif
1 1 0.487 1 ../lost_rasters/Amphibia_Pristimantis anotis.tif
1 1 0.29 1 ../lost_rasters/Amphibia_Pristimantis bernali.tif
1 1 0.204 1 ../lost_rasters/Amphibia_Pristimantis cacao.tif
1 1 0.229 1 ../lost_rasters/Amphibia_Strabomantis cadenai.tif
1 1 0.177 1 ../lost_rasters/Amphibia_Pristimantis caprifer.tif
1 1 0.212 1 ../lost_rasters/Amphibia_Craugastor catalinae.tif
1 1 0.258 1 ../lost_rasters/Amphibia_Pristimantis chrysops.tif
1 1 0.068 1 ../lost_rasters/Amphibia_Craugastor chrysozetetes.tif
