id,class,order,family,species,iucn,criteria,population,systems,realm
21583954,Reptilia,Squamata,Lamprophiidae,Lamprophis guttatus,LC,,Stable,Terrestrial,Afrotropical
21583970,Reptilia,Squamata,Lamprophiidae,Pseudoboodon boehmei,LC,,Unknown,Terrestrial,Afrotropical
21584008,Reptilia,Squamata,Lamprophiidae,Pseudoboodon gascae,LC,,Unknown,Terrestrial,Afrotropical
21584054,Reptilia,Squamata,Lamprophiidae,Pseudoboodon lemniscatus,LC,,Unknown,Terrestrial,Afrotropical
21584164,Reptilia,Squamata,Lamprophiidae,Pseudoboodon sandfordorum,DD,,Unknown,Terrestrial,Afrotropical
21584183,Reptilia,Squamata,Leptotyphlopidae,Epacrophis boulengeri,DD,,Unknown,Terrestrial,Afrotropical
21584199,Reptilia,Squamata,Leptotyphlopidae,Epacrophis drewesi,DD,,Unknown,Terrestrial,Afrotropical
21584213,Reptilia,Squamata,Leptotyphlopidae,Epacrophis reticulatus,DD,,Unknown,Terrestrial,Afrotropical
21584239,Reptilia,Squamata,Leptotyphlopidae,Leptotyphlops aethiopicus,LC,,Unknown,Terrestrial,Afrotropical
21584272,Reptilia,Squamata,Leptotyphlopidae,Leptotyphlops emini,LC,,Unknown,Terrestrial,Afrotropical
21584310,Reptilia,Squamata,Leptotyphlopidae,Myriopholis braccianii,LC,,Unknown,Terrestrial,Afrotropical
21584326,Reptilia,Squamata,Leptotyphlopidae,Tricheilostoma dissimilis,DD,,Unknown,Terrestrial,Afrotropical
21584341,Reptilia,Squamata,Leptotyphlopidae,Myriopholis erythraeus,LC,,Unknown,Terrestrial,Afrotropical
21584356,Reptilia,Squamata,Leptotyphlopidae,Myriopholis longicauda,LC,,Unknown,Terrestrial,Afrotropical
21584404,Reptilia,Squamata,Leptotyphlopidae,Leptotyphlops tanae,DD,,Unknown,Terrestrial,Afrotropical
21584431,Reptilia,Squamata,Prosymnidae,Prosymna ruspolii,LC,,Unknown,Terrestrial,Afrotropical
21584450,Reptilia,Squamata,Prosymnidae,Prosymna somalica,LC,,Unknown,Terrestrial,Afrotropical
21584465,Reptilia,Squamata,Prosymnidae,Prosymna stuhlmanni,LC,,Unknown,Terrestrial,Afrotropical
22470577,Reptilia,Squamata,Psammophiidae,Psammophis angolensis,LC,,Stable,Terrestrial,Afrotropical
22470660,Reptilia,Squamata,Psammophiidae,Psammophis biseriatus,LC,,Unknown,Terrestrial,Afrotropical
22470715,Reptilia,Squamata,Psammophiidae,Psammophis orientalis,LC,,Unknown,Terrestrial,Afrotropical
22470752,Reptilia,Squamata,Psammophiidae,Psammophis pulcher,LC,,Unknown,Terrestrial,Afrotropical
22470859,Reptilia,Squamata,Psammophiidae,Psammophis tanganicus,LC,,Unknown,Terrestrial,Afrotropical
22470987,Reptilia,Squamata,Scincidae,Cryptoblepharus africanus,LC,,Unknown,Terrestrial,Afrotropical
22471289,Reptilia,Squamata,Scincidae,Haackgreerius miopus,DD,,Unknown,Terrestrial,Afrotropical
22471379,Reptilia,Squamata,Scincidae,Trachylepis ferrarai,DD,,Unknown,Terrestrial,Afrotropical
22471446,Reptilia,Squamata,Scincidae,Trachylepis hemmingi,LC,,Unknown,Terrestrial,Afrotropical
22471480,Reptilia,Squamata,Scincidae,Trachylepis hildebrandtii,LC,,Unknown,Terrestrial,Afrotropical
22471697,Reptilia,Squamata,Scincidae,Trachylepis megalura,LC,,Unknown,Terrestrial,Afrotropical
22471743,Reptilia,Squamata,Scincidae,Trachylepis planifrons,LC,,Unknown,Terrestrial,Afrotropical
22471771,Reptilia,Squamata,Scincidae,Trachylepis varia,LC,,Unknown,Terrestrial,Afrotropical
