id_no,species,mean_gHM,median_gHM,source
66080030,Amphisbaena stejnegeri,0.079993157,0.069072329,lost_spp
66080030,Amphisbaena stejnegeri,0.079993157,0.069072329,dd_spp
176234,Amphisbaena tragorrhectes,0.19411885,0.134490088,lost_spp
44578129,Anadia altaserrania,0.297876315,0.286204398,lost_spp
44578138,Anadia blakei,0.31569073,0.322235629,lost_spp
44578175,Anadia bumanguesa,0.463934813,0.45755595,dd_spp
44578233,Anadia petersi,0.212012042,0.186552182,dd_spp
20878063,Ancylocranium barkeri,0.181418734,0.098782036,dd_spp
20878073,Ancylocranium ionidesi,0.181889895,0.176065519,dd_spp
20878083,Ancylocranium somalicum,0.453352086,0.372831374,dd_spp
203833,Ancylodactylus gigas,0.717020085,0.717407256,dd_spp
203835,Ancylodactylus petrodroma,0.567007316,0.591809809,dd_spp
55170,Andinobates abditus,0.19709677,0.179967433,lost_spp
55171,Andinobates altobueyensis,0.153906134,0.132945791,dd_spp
55210,Andinobates viridis,0.187051871,0.177082688,lost_spp
44578744,Andinosaura afrania,0.238857063,0.237271428,lost_spp
44578744,Andinosaura afrania,0.238857063,0.237271428,dd_spp
44578768,Andinosaura hyposticta,0.221882417,0.206951335,dd_spp
44578828,Andinosaura stellae,0.225004696,0.186615109,lost_spp
44578828,Andinosaura stellae,0.225004696,0.186615109,dd_spp
50950592,Andinosaura vieta,0.337335613,0.28139466,dd_spp
102837829,Anilios batillus,0.496759702,0.503720641,dd_spp
102839205,Anilios howi,0.000976142,0.000142309,dd_spp
102839222,Anilios insperatus,0.354767919,0.354767919,lost_spp
102873541,Anilios longissimus,0.187736212,0.188203931,dd_spp
102873617,Anilios micrommus,0.000641762,0.000181211,dd_spp
102873995,Anilios robertsi,0.049629439,0.052205682,dd_spp
102874085,Anilios splendidus,0.003374862,0.001319834,dd_spp
102874461,Anilios yampiensis,0.420960988,0.342363656,dd_spp
102874505,Anilios zonula,0.005645825,0.000142233,dd_spp
39907,Anisolepis undulatus,0.215987899,0.177444369,dd_spp
22685527,Anodorhynchus glaucus,0.262775064,0.226214401,lost_spp
74994396,Anolis alfaroi,0.22321452,0.221692234,dd_spp
74994419,Anolis altitudinalis,0.215840267,0.174983144,lost_spp
64183,Anolis alvarezdeltoroi,0.472922682,0.582796872,dd_spp
64198,Anolis boulengerianus,0.579826609,0.661318183,dd_spp
178441,Anolis caquetae,0.023924915,0.018253475,dd_spp
67609237,Anolis carlostoddi,0.037394546,0.037394546,lost_spp
177906,Anolis cristifer,0.523251005,0.474132717,dd_spp
64192,Anolis cymbops,0.749901108,0.755274087,dd_spp
74994985,Anolis delafuentei,0.34446494,0.319370359,dd_spp
67609326,Anolis deltae,0.124741504,0.123195175,dd_spp
64193,Anolis duellmani,0.660668749,0.710502088,dd_spp
64195,Anolis forbesi,0.330898841,0.294180751,dd_spp
44577413,Anolis ibague,0.658639336,0.611782134,dd_spp
74995458,Anolis incredulus,0.201077366,0.175061554,lost_spp
74995458,Anolis incredulus,0.201077366,0.175061554,dd_spp
44577426,Anolis inderenae,0.310973912,0.301369905,dd_spp
178278,Anolis juangundlachi,0.398038238,0.408561438,lost_spp
48279785,Anolis laevis,0.115706417,0.105743468,lost_spp
48279785,Anolis laevis,0.115706417,0.105743468,dd_spp
44577441,Anolis lamari,0.404037122,0.391664848,lost_spp
44577441,Anolis lamari,0.404037122,0.391664848,dd_spp
178596,Anolis lemniscatus,0.661585477,0.636996031,dd_spp
74995816,Anolis macilentus,0.375862613,0.338677332,dd_spp
64204,Anolis milleri,0.228520329,0.186718173,dd_spp
44577519,Anolis mirus,0.161699477,0.145396493,dd_spp
50950361,Anolis nigrolineatus,0.664847046,0.593434095,dd_spp
75084756,Anolis oporinus,0.304447626,0.280212939,lost_spp
75084756,Anolis oporinus,0.304447626,0.280212939,dd_spp
44577638,Anolis paravertebralis,0.410035234,0.429974914,lost_spp
44577638,Anolis paravertebralis,0.410035234,0.429974914,dd_spp
75100692,Anolis poei,0.294130241,0.299955606,dd_spp
44577673,Anolis propinquus,0.34361433,0.363101304,dd_spp
1319,Anolis roosevelti,0.360413611,0.363267511,lost_spp
64210,Anolis rubiginosus,0.153720771,0.132409722,dd_spp
44577743,Anolis santamartae,0.287433316,0.28311041,dd_spp
50956400,Anolis scapularis,0.498807499,0.602545917,dd_spp
64213,Anolis schiedii,0.614028224,0.674511731,dd_spp
75103060,Anolis sierramaestrae,0.230236828,0.232551768,dd_spp
64215,Anolis simmonsi,0.583586252,0.659801036,dd_spp
75086730,Anolis singularis,0.718016487,0.71643728,lost_spp
64216,Anolis subocularis,0.484829267,0.466145232,dd_spp
44577835,Anolis umbrivagus,0.432825433,0.431937486,dd_spp
75087361,Anolis vescus,0.239553835,0.231288023,dd_spp
44577859,Anolis vicarius,0.346633268,0.360933155,lost_spp
44577859,Anolis vicarius,0.346633268,0.360933155,dd_spp
203130,Anolis wampuensis,0.244468517,0.225913562,dd_spp
48279888,Anolis williamsmittermeierorum,0.124726269,0.120509092,dd_spp
203190,Anomalepis aspinosus,0.352775283,0.315225601,dd_spp
203191,Anomalepis colombia,0.586237393,0.565821856,dd_spp
203192,Anomalepis flavapices,0.414836536,0.417185664,dd_spp
203193,Anomalepis mexicana,0.269138061,0.280714661,dd_spp
125200843,Anomaloglossus degranvillei,0.021245317,0.020051705,lost_spp
77320150,Anomaloglossus megacephalus,0.020360642,0.01728615,dd_spp
55126,Anomaloglossus parimae,0.01870737,0.01870737,dd_spp
55127,Anomaloglossus parkerae,0.061574163,0.062713057,dd_spp
55157,Anomaloglossus tepuyensis,0.035418764,0.034840994,dd_spp
61766,Anomaloglossus triunfo,0.129033324,0.1282188,dd_spp
191983,Anomochilus monticola,0.237751723,0.186253801,dd_spp
192155,Anomochilus weberi,0.415169673,0.359743923,dd_spp
1559,Anonymomys mindorensis,0.272440233,0.235819831,dd_spp
176338,Anoplohydrus aemulans,0.262809084,0.231798992,dd_spp
134878988,Anotosaura collaris,0.350438608,0.363752812,dd_spp
88109476,Anoura cadenai,0.311493378,0.256981358,dd_spp
136239,Anoura fistulata,0.229369788,0.176114336,dd_spp
136589,Anourosorex schmidi,0.21569401,0.173399694,dd_spp
135841,Ansonia latirostra,0.167034624,0.169353336,dd_spp
54482,Ansonia siamensis,0.427273203,0.390938222,lost_spp
102703706,Antaioserpens warro,0.02572583,0.020827586,dd_spp
75607015,Antillotyphlops annae,0.568264957,0.582309246,dd_spp
75607240,Antillotyphlops catapontus,0.335768762,0.348096788,dd_spp
136211,Aotus jorgehernandezi,0.15740004,0.175250024,dd_spp
13264349,Aparallactus nigriceps,0.297537585,0.260251909,dd_spp
57927,Aphantophryne parkeri,0.221152774,0.1145624,dd_spp
55572,Aplastodiscus musicus,0.29339243,0.285585701,lost_spp
22710490,Aplonis pelzelni,0.196685872,0.184362061,lost_spp
45953976,Apomys brownorum,0.209863301,0.178673878,dd_spp
1913,Apomys littoralis,0.34625286,0.311876267,dd_spp
15155600,Apostolepis ambiniger,0.177518522,0.124959834,dd_spp
15155809,Apostolepis cerradoensis,0.145077708,0.136293434,dd_spp
15155834,Apostolepis christineae,0.168078473,0.153398708,dd_spp
15155994,Apostolepis dorbignyi,0.188299203,0.164556906,dd_spp
15156663,Apostolepis lineata,0.194311252,0.15884196,dd_spp
15156851,Apostolepis niceforoi,0.025282295,0.010231704,dd_spp
15157546,Apostolepis tenuis,0.185806249,0.168190777,dd_spp
102827684,Aprasia clairae,0.023463073,0.011585704,dd_spp
102827983,Aprasia picturata,0.011361813,0.004965397,dd_spp
102828565,Aprasia wicherina,0.266583955,0.190654114,dd_spp
20878489,Aprosdoketophis andreonei,0.235494716,0.203032926,dd_spp
22686825,Apus sladeniae,0.318671241,0.246780656,dd_spp
59391,Aquiloeurycea praecellens,0.75642932,0.756579816,lost_spp
