"rank" "mean.1" "weighted_mean.1" "min.1" "mean.2" "weighted_mean.2" "min.2" "mean.3" "weighted_mean.3" "min.3" "mean.4" "weighted_mean.4" "min.4" 
0.01522 1.0000 1.0000 1.0000 0.9993 0.9999 0.7210 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01532 1.0000 1.0000 1.0000 0.9993 0.9999 0.7192 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01542 1.0000 1.0000 1.0000 0.9993 0.9999 0.7174 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01552 1.0000 1.0000 1.0000 0.9993 0.9999 0.7156 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01561 1.0000 1.0000 1.0000 0.9993 0.9999 0.7137 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01571 1.0000 1.0000 1.0000 0.9993 0.9999 0.7119 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01581 1.0000 1.0000 1.0000 0.9993 0.9999 0.7101 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01591 1.0000 1.0000 1.0000 0.9993 0.9999 0.7083 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01601 1.0000 1.0000 1.0000 0.9993 0.9999 0.7065 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01610 1.0000 1.0000 1.0000 0.9993 0.9999 0.7047 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01620 1.0000 1.0000 1.0000 0.9993 0.9999 0.7029 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01630 1.0000 1.0000 1.0000 0.9993 0.9999 0.7011 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01640 1.0000 1.0000 1.0000 0.9993 0.9999 0.6993 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01650 1.0000 1.0000 1.0000 0.9993 0.9999 0.6975 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01660 1.0000 1.0000 1.0000 0.9992 0.9999 0.6957 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01669 1.0000 1.0000 1.0000 0.9992 0.9999 0.6939 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01679 1.0000 1.0000 1.0000 0.9992 0.9999 0.6921 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01689 1.0000 1.0000 1.0000 0.9992 0.9999 0.6903 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01699 1.0000 1.0000 1.0000 0.9992 0.9999 0.6885 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01709 1.0000 1.0000 1.0000 0.9992 0.9999 0.6867 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01718 1.0000 1.0000 1.0000 0.9992 0.9999 0.6849 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01728 1.0000 1.0000 1.0000 0.9992 0.9999 0.6831 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01738 1.0000 1.0000 1.0000 0.9992 0.9999 0.6813 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01748 1.0000 1.0000 1.0000 0.9992 0.9999 0.6795 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01758 1.0000 1.0000 1.0000 0.9992 0.9999 0.6777 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01768 1.0000 1.0000 1.0000 0.9992 0.9999 0.6759 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01777 1.0000 1.0000 1.0000 0.9992 0.9999 0.6741 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01787 1.0000 1.0000 1.0000 0.9992 0.9999 0.6723 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01797 1.0000 1.0000 1.0000 0.9992 0.9999 0.6705 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01807 1.0000 1.0000 1.0000 0.9992 0.9999 0.6687 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01817 1.0000 1.0000 1.0000 0.9992 0.9999 0.6669 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01827 1.0000 1.0000 1.0000 0.9992 0.9999 0.6651 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01836 1.0000 1.0000 1.0000 0.9992 0.9999 0.6633 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01846 1.0000 1.0000 1.0000 0.9992 0.9999 0.6615 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01856 1.0000 1.0000 1.0000 0.9992 0.9999 0.6597 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01866 1.0000 1.0000 1.0000 0.9992 0.9999 0.6579 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01876 1.0000 1.0000 1.0000 0.9991 0.9999 0.6561 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01885 1.0000 1.0000 1.0000 0.9991 0.9999 0.6543 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01895 1.0000 1.0000 1.0000 0.9991 0.9999 0.6525 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01905 1.0000 1.0000 1.0000 0.9991 0.9999 0.6507 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01915 1.0000 1.0000 1.0000 0.9991 0.9999 0.6489 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01925 1.0000 1.0000 1.0000 0.9991 0.9998 0.6471 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
