group weight wgrp filename
4 0.187 4 ../dd_rasters/Mammalia_Leimacomys_buettneri.tif
4 0.274 4 ../dd_rasters/Mammalia_Lemniscomys_hoogstraali.tif
4 0.287 4 ../dd_rasters/Mammalia_Lemniscomys_roseveari.tif
2 0.189 2 ../dd_rasters/Reptilia_Liolaemus_kuhlmanni.tif
1 0.141 1 ../dd_rasters/Amphibia_Litoria_piperata.tif
4 0.225 4 ../dd_rasters/Mammalia_Lophuromys_cinereus.tif
4 0.121 4 ../dd_rasters/Mammalia_Macruromys_elegans.tif
4 0.158 4 ../dd_rasters/Mammalia_Madoqua_piacentinii.tif
4 0.2 4 ../dd_rasters/Mammalia_Margaretamys_parvus.tif
4 0.042 4 ../dd_rasters/Mammalia_Marmosa_andersoni.tif
4 0.026 4 ../dd_rasters/Mammalia_Marmosa_tyleriana.tif
4 0.396 4 ../dd_rasters/Mammalia_Marmosops_cracens.tif
4 0.351 4 ../dd_rasters/Mammalia_Marmosops_fuscatus.tif
4 0.229 4 ../dd_rasters/Mammalia_Mastomys_pernanus.tif
4 0.13 4 ../dd_rasters/Mammalia_Maxomys_baeodon.tif
4 0.184 4 ../dd_rasters/Mammalia_Maxomys_hylomyoides.tif
4 0.097 4 ../dd_rasters/Mammalia_Maxomys_ochraceiventer.tif
4 0.133 4 ../dd_rasters/Mammalia_Melomys_bougainville.tif
4 0.237 4 ../dd_rasters/Mammalia_Meriones_zarudnyi.tif
4 0.174 4 ../dd_rasters/Mammalia_Mesomys_leniceps.tif
4 0.212 4 ../dd_rasters/Mammalia_Microdillus_peeli.tif
4 0.11 4 ../dd_rasters/Mammalia_Glyphonycteris_behnii.tif
4 0.017 4 ../dd_rasters/Mammalia_Neonycteris_pusilla.tif
4 0.165 4 ../dd_rasters/Mammalia_Epomophorus_intermedius.tif
4 0.277 4 ../dd_rasters/Mammalia_Microsciurus_santanderensis.tif
4 0.031 4 ../dd_rasters/Mammalia_Alexandromys_evoronensis.tif
4 0.181 4 ../dd_rasters/Mammalia_Microtus_kermanensis.tif
4 0.027 4 ../dd_rasters/Mammalia_Alexandromys_mujanensis.tif
4 0.387 4 ../dd_rasters/Mammalia_Microtus_nasarovi.tif
4 0.179 4 ../dd_rasters/Mammalia_Miniopterus_minor.tif
4 0.086 4 ../dd_rasters/Mammalia_Cynomops_abrasus.tif
4 0.055 4 ../dd_rasters/Mammalia_Molossops_neglectus.tif
4 0.217 4 ../dd_rasters/Mammalia_Monodelphis_iheringi.tif
4 0.078 4 ../dd_rasters/Mammalia_Mops_niangarae.tif
4 0.22 4 ../dd_rasters/Mammalia_Mops_sarasinorum.tif
4 0.462 4 ../dd_rasters/Mammalia_Mops_trevori.tif
4 0.655 4 ../dd_rasters/Mammalia_Mormopterus_doriae.tif
4 0.103 4 ../dd_rasters/Mammalia_Muntiacus_gongshanensis.tif
4 0.173 4 ../dd_rasters/Mammalia_Muntiacus_feae.tif
4 0.244 4 ../dd_rasters/Mammalia_Muntiacus_rooseveltorum.tif
4 0.279 4 ../dd_rasters/Mammalia_Murina_aurata.tif
4 0.339 4 ../dd_rasters/Mammalia_Murina_fusca.tif
4 0.597 4 ../dd_rasters/Mammalia_Harpiola_grisea.tif
4 0.121 4 ../dd_rasters/Mammalia_Mus_callewaerti.tif
4 0.184 4 ../dd_rasters/Mammalia_Mus_crociduroides.tif
4 0.038 4 ../dd_rasters/Mammalia_Mus_goundae.tif
4 0.166 4 ../dd_rasters/Mammalia_Mus_neavei.tif
4 0.175 4 ../dd_rasters/Mammalia_Mus_oubanguii.tif
4 0.213 4 ../dd_rasters/Mammalia_Myomimus_personatus.tif
4 0.463 4 ../dd_rasters/Mammalia_Myomimus_setzeri.tif
4 0.344 4 ../dd_rasters/Mammalia_Myomyscus_yemeni.tif
4 0.213 4 ../dd_rasters/Mammalia_Myopterus_daubentonii.tif
4 0.165 4 ../dd_rasters/Mammalia_Myosorex_schalleri.tif
4 0.162 4 ../dd_rasters/Mammalia_Myotis_aelleni.tif
4 0.103 4 ../dd_rasters/Mammalia_Myotis_australis.tif
4 0.23 4 ../dd_rasters/Mammalia_Myotis_cobanensis.tif
4 0.072 4 ../dd_rasters/Mammalia_Myotis_hermani.tif
4 0.207 4 ../dd_rasters/Mammalia_Myotis_insularum.tif
4 0.334 4 ../dd_rasters/Mammalia_Myotis_longipes.tif
4 0.347 4 ../dd_rasters/Mammalia_Myotis_morrisi.tif
4 0.812 4 ../dd_rasters/Mammalia_Myotis_oreias.tif
4 0.359 4 ../dd_rasters/Mammalia_Myotis_schaubi.tif
4 0.038 4 ../dd_rasters/Mammalia_Myotis_simus.tif
4 0.028 4 ../dd_rasters/Mammalia_Neacomys_pictus.tif
4 0.23 4 ../dd_rasters/Mammalia_Nesolagus_netscheri.tif
4 0.018 4 ../dd_rasters/Mammalia_Neusticomys_oyapocki.tif
4 0.115 4 ../dd_rasters/Mammalia_Nycteris_major.tif
4 0.129 4 ../dd_rasters/Mammalia_Nyctimene_cyclotis.tif
4 0.065 4 ../dd_rasters/Mammalia_Nyctimene_draconilla.tif
4 0.119 4 ../dd_rasters/Mammalia_Nyctimene_masalai.tif
4 0.097 4 ../dd_rasters/Mammalia_Nyctimene_sanctacrucis.tif
4 0.257 4 ../dd_rasters/Mammalia_Nyctophilus_heran.tif
4 0.233 4 ../dd_rasters/Mammalia_Oecomys_cleberi.tif
4 0.085 4 ../dd_rasters/Mammalia_Oecomys_paricola.tif
4 0.448 4 ../dd_rasters/Mammalia_Oenomys_ornatus.tif
4 0.421 4 ../dd_rasters/Mammalia_Olallamys_albicauda.tif
4 0.267 4 ../dd_rasters/Mammalia_Olallamys_edax.tif
2 0.409 2 ../dd_rasters/Reptilia_Oligodon_nikhili.tif
2 0.345 2 ../dd_rasters/Reptilia_Opisthotropis_spenceri.tif
4 0.717 4 ../dd_rasters/Mammalia_Orthogeomys_cuniculus.tif
4 0.213 4 ../dd_rasters/Mammalia_Oreoryzomys_balneator.tif
4 0.139 4 ../dd_rasters/Mammalia_Oryzomys_dimidiatus.tif
4 0.246 4 ../dd_rasters/Mammalia_Eremoryzomys_polius.tif
4 0.51 4 ../dd_rasters/Mammalia_Otomops_formosus.tif
4 0.297 4 ../dd_rasters/Mammalia_Otomops_wroughtoni.tif
4 0.263 4 ../dd_rasters/Mammalia_Otomops_johnstonei.tif
